ID,logTime,lidarDistance,upMotor,controlAuthority,currentManeuver,state_description,state_target,state_action,loopTime,days_since_last_case
443030,2022-11-11 09:39:42.547,574,0.13193,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.277344,2.97067901234568E-06
443031,2022-11-11 09:39:42.803,600,0.403038,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.25,2.97067901234568E-06
443032,2022-11-11 09:39:43.040,600,0.286084,auto,hoverYaw,autonomous,none,hover (higher). maintain yaw 0 to view target.,0.242187,2.7391975308642E-06
443033,2022-11-11 09:39:43.273,600,0.282415,auto,hoverYaw,autonomous,none,hover (higher). maintain yaw 0 to view target.,0.238282,2.70061728395062E-06
443034,2022-11-11 09:39:43.573,628,0.544461,auto,hoverYaw,autonomous,none,hover (higher). maintain yaw 0 to view target.,0.230468,3.47222222222222E-06
443035,2022-11-11 09:39:43.883,642,0.520185,auto,hoverYaw,autonomous,none,hover (higher). maintain yaw 0 to view target.,0.285157,3.58796296296296E-06
443036,2022-11-11 09:39:44.167,642,0.483925,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.3125,3.27932098765432E-06
443037,2022-11-11 09:39:44.390,663,0.662416,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.261719,2.58487654320988E-06
443038,2022-11-11 09:39:44.680,673,0.672025,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.230468,3.35648148148148E-06
443039,2022-11-11 09:39:44.917,681,0.723617,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.277344,2.7391975308642E-06
443040,2022-11-11 09:39:45.190,687,0.771071,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.238281,3.16358024691358E-06
443041,2022-11-11 09:39:45.417,679,0.643859,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.257812,2.62345679012346E-06
443042,2022-11-11 09:39:45.677,660,0.506445,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.226563,3.00925925925926E-06
443043,2022-11-11 09:39:45.933,683,0.761247,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.253906,2.97067901234568E-06
443044,2022-11-11 09:39:46.217,684,0.687862,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.25,3.27932098765432E-06
443045,2022-11-11 09:39:46.497,679,0.686011,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.273438,3.24074074074074E-06
443046,2022-11-11 09:39:46.747,670,0.6018,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.277343,2.89351851851852E-06
443047,2022-11-11 09:39:47.010,657,0.548084,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.25,3.04783950617284E-06
443048,2022-11-11 09:39:47.270,645,0.412689,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.25,3.00925925925926E-06
443049,2022-11-11 09:39:47.517,630,0.396588,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.261719,2.85493827160494E-06
443050,2022-11-11 09:39:47.757,617,0.346703,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.242188,2.77777777777778E-06
443051,2022-11-11 09:39:47.983,605,0.202964,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.234375,2.62345679012346E-06
443052,2022-11-11 09:39:48.223,593,0.194189,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.214843,2.77777777777778E-06
443053,2022-11-11 09:39:48.467,593,0.236006,auto,hoverYaw,autonomous,none,hover (higher). yaw to target,0.238282,2.81635802469136E-06
